City,Covid Cases
Mahalingapura,3037.573465
Dharmanagar,2902.810925
Mahemdabad,2481.97713
Manendragarh,3177.267741
Banaganipalli,3024.461861
Uran,3140.867026
Tharamangalam,2391.059434
Tirukkoyilur,5458.117099
Pen,2330.665744
Mussoorie,2424.708692
Makhdumpur,2916.066588
Maner Sharif,2918.767313
Oddanchatram,2934.475373
Palladam,2462.980253
Mundi,2842.529205
Sitarganj,2790.833357
Nabarangapur,2893.262953
Mudalagi,2874.673409
Samalkha,2630.993988
Nepanagar,2710.187056
Karjat,2175.85084
Ranavav,2671.912966
Pedana,2777.572731
Lakheri,2777.792401
Pasan,2958.31473
Puttur,3887.891582
Vadakkuvalliyur,4833.25933
Tirukalukundram,3070.575704
Muvattupuzha,3446.262135
Rasra,2236.031565
Udaipurwati,2682.473141
Manwath,2077.404326
Adoor,3339.012135
Uthamapalayam,2943.709315
Partur,2279.606551
Nahan,2695.150698
Rajesultanpur,2746.660095
Ladwa,2403.834514
Kotdwar,2426.003391
Mankachar,3326.63786
Nongstoin,2820.07414
Nedumbassery,3264.400577
Losal,2561.487016
Ramngarh,2863.525735
Mavelikkara,3304.317125
Rawatsar,2314.64931
Rajakhera,2245.980615
Lar,2406.393429
Lal Gopalganj Nindaura,2557.870468
Muddebihal,2592.069448
Sirsaganj,2453.358605
Shahpura,2428.533396
Surandai,2772.890551
Sangole,1852.382529
Pavagada,2828.664957
Tharad,2515.046035
Mansa,2445.083472
Umargam,2670.007388
Mavoor,3694.267125
Nalbari,3140.8685
Talaja,2539.934907
Malur,2698.735996
Mangrulpir,2449.966282
Soro,2972.943115
Shahpura,2194.329537
Vadnagar,2405.630347
Chamba,2529.071629
Raisinghnagar,2627.069597
Sindhagi,2640.178414
Sanduru,2623.9702
Sohna,2719.117174
Manavadar,2709.211748
Pihani,2417.42791
Safidon,2752.59961
Risod,1976.100225
Rosera,3049.286573
Sankari,2914.675982
Malpura,2542.598231
Sonamukhi,2937.687147
Varandarappilly,4480.032948
"Shamsabad, Agra",3246.606475
Nokha,3101.212322
Pandua,3447.394621
Mainaguri,4269.943543
Afzalpur,2973.420992
Bagepalli,3038.970992
Shirur,2366.732411
Salaya,2509.122832
Shenkottai,2853.942649
Pratapgarh,3293.434516
Nagarkurnool,3035.183091
Savner,1983.185004
Sasvad,2754.722139
Rudrapur,1982.586239
Soron,2779.481892
Sholingur,5666.393287
Pandharkaoda,4661.721008
Perumbavoor,3100.131198
Maddur,2957.704325
Nadbai,2625.966729
Talode,1993.90388
Shrigonda,2502.18697
Madhugiri,3094.216848
Tekkalakote,3121.38524
Seoni-Malwa,2697.869329
Shirdi,3300.446681
Suar,2408.032144
Terdal,2883.13708
Raver,2544.513347
Tirupathur,3124.657217
Taraori,2459.930292
Mukhed,2089.034824
Manachanallur,2740.558366
Jaynagar Majilpur,3011.006407
Rehli,2760.090914
Sanchore,2664.312688
Rajura,888.2065515
Piro,2758.293481
Mudabidri,2944.509449
Vadgaon Kasba,1574.071744
Nagar,2561.364898
Vijapur,2503.418834
Viswanatham,5187.089823
Bajpur,2508.825564
Polur,2150.23
Panagudi,3824.309315
Manawar,2583.913582
Pauri,2639.812113
Samdhan,2951.346022
Pardi,2552.789667
Rahatgarh,3319.140162
Panagar,2931.814134
Uthiramerur,6442.187714
Tirora,2983.800359
Rangiya,2936.255464
Sahjanwa,2736.793429
Wara Seoni,2717.448614
Magadi,2897.191045
Rajgarh (Alwar),2810.792401
Rafiganj,2999.303239
Tarana,2873.310793
Rampur Maniharan,2284.07688
Sheoganj,2123.147282
Raikot,2748.560036
Sumerpur,3108.420745
Navalgund,3019.871838
Shahganj,2698.631565
Marhaura,3011.742735
Tulsipur,1884.136264
Sadri,2844.51372
Thiruthuraipoondi,2465.595608
Shiggaon,2887.062832
Pallapatti,4192.523884
Mahendragarh,2329.124151
Sausar,2688.298496
Ponneri,6172.237725
Mahad,2325.599078
Lohardaga,2825.349366
Aluva,3253.309073
Tirwaganj,1632.167569
Margherita,4143.44967
Tehri,2510.753618
Sundarnagar,2794.635159
Rajgarh,2765.353414
Mangaldoi,2834.285296
Renigunta,3352.32608
Longowal,2609.25103
Ratia,2660.618393
Lalgudi,6603.256211
Shrirangapattana,2903.579705
Niwari,2700.927662
Natham,3290.610171
Unnamalaikadai,3636.743504
Purquazi,3153.079355
"Shamsabad, Farrukhabad",2349.777376
Mirganj,3078.873531
Todaraisingh,2232.14931
Chengannur,3246.712135
Warhapur,2349.110214
Rajam,3362.058435
Urmar Tanda,2511.227443
Lonar,2440.849196
Powayan,3454.854078
vasudevanallur,3470.310171
Palampur,2718.150579
P.N.Patti,2114.095608
Srisailam (RFC) Township,3374.687349
Sindagi,3121.027538
Vaikom,3246.367243
Sandi,2179.819716
Malda,2721.103933
Tharangambadi,3297.403258
Sakaleshapura,2815.598336
Malkangiri,2810.821805
Rapar,2731.969966
Mauganj,2733.681829
Todabhim,2694.248559
Srinivaspur,2819.075364
Murliganj,2830.284517
Reengus,2417.168157
Sawantwadi,1657.106551
Tittakudi,2552.007206
Lilong,2945.033
Rajaldesar,2823.381897
Pathardi,1646.139885
Pacode,5284.638744
Achhnera,2411.313949
Naraura,2582.646022
Nakur,1969.613949
Palai,3397.867125
"Morinda, India",2485.30599
Manasa,2563.596468
Nainpur,2609.933968
Sahaspur,3184.994938
Pauni,2204.356301
Prithvipur,2796.787882
Silapathar,2604.498216
Ramtek,2364.058329
Songadh,2505.034169
Safipur,3436.138318
Sohagpur,2816.195081
Mul,3381.299078
Sadulshahar,2712.928531
Phillaur,2630.29174
Sambhar,2788.004616
Prantij,2264.486382
Nagla,3012.002534
Pattran,2788.077963
Mount Abu,2608.951603
Reoti,2657.259068
Tenu dam-cum-Kathhara,2777.142477
Panchla,3805.861288
Pasighat,3150.881386
Motipur,2999.636573
O' Valley,2710.109315
Raghunathpur,3269.515579
Suriyampalayam,5049.555422
Qadian,2859.895182
Silvassa,3440.596548
Nowrozabad (Khodargama),2890.184835
Mangrol,2648.081892
Soyagaon,3322.174286
Sujanpur,2659.004041
Manihari,2873.196039
Sikanderpur,2308.334236
Laksar,2651.7274
Mangalvedhe,1839.873218
Ron,2890.892478
Phulera,2485.233396
Sholavandan,3267.15914
Saidpur,2679.239808
Shamgarh,2906.197327
Thammampatti,2487.426832
Maharajpur,2879.491705
Chamoli Gopeshwar,2763.516311
Multai,2586.121468
Mukerian,2483.40108
Sirsi,2489.664898
Purwa,2034.869597
Sheohar,2624.893481
Namagiripettai,3074.908248
Parasi,3508.960095
Lathi,2681.683212
Lalganj,2329.780283
Narkhed,2698.925998
Mathabhanga,3294.918124
Shendurjana,2699.451671
Peravurani,2591.375982
Mariani,2802.207904
Phulpur,2794.425735
Rania,2416.688625
Pali,2333.767569
Pachore,2706.056829
Parangipettai,3662.821744
Pudupattinam,2952.658237
Panniyannur,3523.167125
Maharajganj,3002.594233
Rau,2812.765914
Monoharpur,4049.980735
Mandawa,2680.095072
Marigaon,2842.112889
Pallikonda,3543.155077
Pindwara,2534.733396
Shishgarh,2844.761377
Charthaval,2964.546701
Patur,2708.580014
Mayang Imphal,2949.984297
Mhowgaon,2898.449792
Guruvayoor,3153.600577
Mhaswad,1906.454597
Sahawar,2765.17688
Sivagiri,3218.041737
Mundargi,2731.395413
Punjaipugalur,3214.660068
Kailasahar,2988.520226
Samthar,2465.798677
Sakti,3016.469265
Silao,2658.926815
Mandalgarh,2831.692401
Loha,2295.378428
"Srinagar, Uttarakhand",2472.615312
Pukhrayan,2464.569597
Padmanabhapuram,5130.688756
Belonia,2962.737351
Bhusawar,2345.228272
Saiha,3539.792614
Inkollu,2771.957311
Srirampore,3923.590787
Talwara,2987.303786
Gadarpur,2554.839942
Sarsawa,2794.654078
Puthuppally,3161.27574
Khowai,3294.647663
Landhaura,2495.698754
Tanakpur,2619.741765
Uttarkashi,3060.085477
Vijaypur,2760.501584
Takhatgarh,2278.853049
Joshimath,2517.851606
Owk,3524.708095
Khatima,2494.044835
Thirupuvanam,3798.428163
Adra,2789.929983
Piriyapatna,3084.785872
Obra,2923.60806
Vikasnagar,2484.379525
Amaravathi,2796.878145
Khanda,2574.940503
Mahua Kheraganj,2635.814413
Talbehat,2536.469597
Adalaj,2588.240419
Nandgaon,1601.574286
Bagha Kusmar,2844.222577
Dineshpur,2498.954749
Jhabrera,2410.647368
Kela Khera,2651.996973
Muni Ki Reti,2499.546368
Chhapra,3727.412702
Panamattom,3289.642407
Gavaravaram,4060.89871
Sultanpur,2422.591505
Herbertpur,2759.627368
Rudraprayag,2542.672558
Niwai,2068.850181
Bageshwar,2535.539745
Gochar,2612.881672
Doiwala,2658.487196
Tarbha,2956.64067
Karnaprayag,2537.006375
Sanivarapupeta,3378.645749
Lohaghat,2155.763949
Bhimtal,2483.094938
Lalkuan,2547.256475
Kaladhungi,2263.79931
Naura,2701.850903
Mahua Dabra Haripura,2449.728272
Chandpara,3477.923074
Dharchula,2340.533396
Adyar,2939.202757
Narsinghgarh,3663.942999
Barkot,2708.473419
Didihat,2578.318362
Satrampadu,2955.703646
Warud,557.1732182
Asarganj,2817.317431
Bhowali,2557.896747
Shaktigarh,2734.013795
Narendranagar,2590.861843
Champawat,2477.053547
Sarsod,2386.79291
Bhaiseena,2095.632762
Dwarahat,2448.216568
Badrinath,2802.790607
Dogadda,2482.177216
Devprayag,2814.787784
Nandaprayag,2683.276998
Kirtinagar,2753.52942
Kedarnath,2597.10351
Gangotri,2703.636936
Kumarganj,2407.266095
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
